Expiry,callHedge,putHedge,netHedge,Price
2020-02-15,1388331.7367631139,-3637752.5834721657,-2249420.84670905,670.0
2020-02-22,5228510.58601618,-2325842.802423627,2902667.7835925585,670.0
2020-02-29,1081652.284430899,-801748.845312784,279903.4391181138,670.0
2020-03-07,285613.7795190119,-395101.8220828483,-109488.04256383622,670.0
2020-03-14,81562.04419942485,-167891.1163075189,-86329.07210809409,670.0
2020-03-21,7829613.209694606,-2022824.3842482222,5806788.825446384,670.0
2020-03-28,23601.597897717704,-19144.975440217528,4456.622457500173,670.0
2020-04-18,1418337.7479577188,-683564.8033537273,734772.9446039919,670.0
2020-05-16,1837316.0134374741,-813315.797039479,1024000.2163979962,670.0
2020-06-16,0.0,-34.81197749134889,-34.81197749134889,670.0
2020-06-20,4910018.41493267,-1782970.4958650235,3127047.9190676473,670.0
2020-07-18,698184.3112582369,-345211.85887324583,352972.45238499105,670.0
2020-08-22,388996.953422515,-253046.69430780207,135950.25911471277,670.0
2020-09-19,1097889.7905133737,-473806.3745107896,624083.4160025835,670.0
2020-10-17,379732.97634878254,-264255.52643415,115477.44991463223,670.0
2021-01-16,9017797.11184697,-2179824.0788349207,6837973.033012055,670.0
2021-03-20,825346.7282123996,-200342.12091770567,625004.6072946938,670.0
2021-06-19,2352323.374591306,-264755.07726581144,2087568.2973254952,670.0
2021-09-18,309803.582058247,-38267.779711659416,271535.80234658765,670.0
2022-01-19,7819.300019302841,-1667.7892349412994,6151.5107843615415,670.0
2022-01-22,2910532.976663352,-444857.61870377965,2465675.3579595736,670.0
2022-03-19,13319.26830719137,-14047.998930434147,-728.7306232427734,670.0
2022-06-18,2054288.4073705438,-302797.68796991155,1751490.7194006327,670.0
2020-02-15,2975866.402065282,-1514633.4473780561,1461232.954687226,770.0
2020-02-22,6905339.636044819,-1183095.2434370539,5722244.392607772,770.0
2020-02-29,1379873.2312965766,-445655.9763327632,934217.254963814,770.0
2020-03-07,442248.75867591676,-245041.08630856324,197207.67236735325,770.0
2020-03-14,131503.0972758156,-111324.8829381798,20178.214337635793,770.0
2020-03-21,8763996.172260866,-1203898.1270171057,7560098.045243747,770.0
2020-03-28,36794.44097046605,-12238.60196860148,24555.839001864577,770.0
2020-04-18,1718133.6881337285,-460281.5559411237,1257852.1321926026,770.0
2020-05-16,2128900.8977116295,-567314.476095134,1561586.4216164968,770.0
2020-06-16,0.0,-17.794447771735616,-17.794447771735616,770.0
2020-06-20,5409223.702603348,-1316488.8170386567,4092734.8855646923,770.0
2020-07-18,811906.7856333208,-256980.02682522516,554926.7588080954,770.0
2020-08-22,447877.6863848581,-195527.79179217195,252349.89459268635,770.0
2020-09-19,1195070.452153811,-369433.51644293877,825636.9357108722,770.0
2020-10-17,430056.35640109255,-217206.17874321857,212850.17765787404,770.0
2021-01-16,9491162.026178394,-1715108.5554428226,7776053.4707355695,770.0
2021-03-20,877492.3790902473,-163637.48248560217,713854.8966046454,770.0
2021-06-19,2449302.0543333828,-218478.73628053436,2230823.318052845,770.0
2021-09-18,321667.3146351217,-32610.064206993633,289057.2504281282,770.0
2022-01-19,8131.892980475935,-1405.269549732388,6726.623430743546,770.0
2022-01-22,3036750.9953874163,-374681.15765021177,2662069.837737207,770.0
2022-03-19,14264.098910621411,-12809.871109565736,1454.2278010556702,770.0
2022-06-18,2150741.450314932,-262932.94540030515,1887808.504914627,770.0
2020-02-15,5314201.5694286935,-530937.500426724,4783264.069001968,870.0
2020-02-22,8517733.231546395,-593556.4977764315,7924176.733769956,870.0
2020-02-29,1660444.8988714109,-234639.20837237532,1425805.6904990366,870.0
2020-03-07,603334.107205994,-147123.08775593792,456211.0194500562,870.0
2020-03-14,184105.68681193548,-73846.6880979176,110258.99871401787,870.0
2020-03-21,9537351.44068824,-714105.4202363907,8823246.020451851,870.0
2020-03-28,49374.63734990145,-7463.800320339312,41910.837029562135,870.0
2020-04-18,1983096.4994820675,-310118.35498795344,1672978.1444941137,870.0
2020-05-16,2366943.4816239206,-397743.46979383216,1969200.0118300903,870.0
2020-06-16,0.0,-9.378165399326289,-9.378165399326289,870.0
2020-06-20,5804171.669912147,-985094.0624693031,4819077.607442842,870.0
2020-07-18,908125.5384196584,-193823.6135571269,714301.9248625322,870.0
2020-08-22,498294.4160048166,-153555.644144581,344738.7718602355,870.0
2020-09-19,1272754.2029570627,-291986.0371083089,980768.1658487534,870.0
2020-10-17,473538.5961276714,-180545.8723248814,292992.7238027901,870.0
2021-01-16,9863103.212213079,-1371748.9418936095,8491354.270319475,870.0
2021-03-20,919594.874311137,-135668.6791434924,783926.1951676446,870.0
2021-06-19,2525986.5889702197,-182831.52290720606,2343155.066063014,870.0
2021-09-18,331304.25568874244,-28150.37515995309,303153.8805287892,870.0
2022-01-19,8382.086880196113,-1199.23987886854,7182.847001327573,870.0
2022-01-22,3139994.8431275454,-319995.89221281867,2819998.9509147266,870.0
2022-03-19,15073.161538198765,-11743.156921228585,3330.004616970179,870.0
2022-06-18,2230666.9844430643,-230841.35812555338,1999825.6263175104,870.0
